"time", "x1", "y1", "z1", "x2", "y2", "z2"
15001,-0.112,-0.030,1.040,0.065,-0.033,-1.014
15006,0.013,-0.017,1.000,0.054,-0.006,-1.025
15011,0.175,0.002,0.949,-0.009,0.025,-1.029
15016,0.196,-0.042,0.933,-0.091,0.016,-1.032
15021,0.267,-0.094,0.984,-0.157,0.013,-1.104
15026,0.160,-0.125,0.975,-0.086,-0.042,-1.076
15031,0.040,-0.126,0.987,0.071,-0.062,-1.042
15036,-0.040,-0.125,1.018,0.082,-0.070,-1.023
15041,-0.108,-0.081,1.029,0.069,-0.084,-0.997
15046,-0.101,-0.034,0.994,0.111,-0.040,-1.007
15051,0.019,-0.018,0.974,0.027,0.012,-1.025
15056,0.161,-0.027,1.001,-0.069,0.017,-1.033
15061,0.255,-0.066,1.022,-0.144,0.022,-1.123
15066,0.168,-0.097,0.974,-0.061,-0.000,-1.037
15071,0.208,-0.145,0.982,-0.104,-0.025,-1.096
15076,-0.007,-0.122,0.998,0.005,-0.083,-1.025
15081,-0.090,-0.090,1.029,0.164,-0.079,-1.046
15086,-0.125,-0.080,1.021,0.136,-0.062,-0.992
15091,-0.004,-0.046,0.990,0.048,-0.023,-0.986
15096,0.122,-0.014,0.973,-0.063,0.022,-1.057
15101,0.148,-0.011,0.952,-0.042,0.024,-1.020
15106,0.296,-0.058,0.995,-0.156,0.037,-1.111
15111,0.159,-0.092,0.971,-0.140,-0.011,-1.069
15116,0.122,-0.122,0.986,0.041,-0.043,-1.087
15121,-0.028,-0.125,1.035,0.044,-0.077,-1.054
15126,-0.057,-0.101,1.054,0.094,-0.093,-1.022
15131,-0.119,-0.042,1.033,0.108,-0.049,-1.026
15136,-0.073,0.013,1.017,0.098,0.007,-1.013
15141,0.123,0.008,1.021,-0.038,0.039,-1.055
15146,0.180,-0.018,0.995,-0.146,0.019,-1.050
15151,0.248,-0.046,0.994,-0.076,0.032,-1.086
15156,0.192,-0.090,0.991,-0.071,-0.003,-1.098
15161,0.095,-0.126,1.026,-0.001,-0.077,-1.040
15166,-0.037,-0.113,1.019,0.096,-0.091,-1.056
15171,-0.150,-0.076,1.019,0.183,-0.076,-0.989
15176,-0.046,-0.023,1.022,0.100,-0.030,-1.016
15181,-0.026,0.003,1.009,0.007,-0.010,-0.986
15186,0.140,0.003,0.993,-0.003,0.021,-1.051
15191,0.179,-0.038,0.937,-0.126,0.032,-1.058
15196,0.331,-0.099,0.973,-0.113,-0.010,-1.070
15201,0.167,-0.137,0.950,-0.064,-0.029,-1.096
15206,0.035,-0.131,1.001,0.073,-0.069,-1.040
15211,-0.071,-0.115,1.011,0.068,-0.086,-1.031
15216,-0.117,-0.085,1.027,0.123,-0.094,-0.958
15221,-0.117,-0.034,0.981,0.135,-0.038,-1.007
15226,0.039,-0.027,0.935,0.033,0.012,-1.005
15231,0.224,-0.057,0.959,-0.098,0.008,-1.030
15236,0.249,-0.079,0.965,-0.141,0.021,-1.089
15241,0.187,-0.087,0.992,-0.061,0.009,-1.060
15246,0.157,-0.161,1.008,-0.049,-0.032,-1.062
15251,-0.021,-0.135,1.037,-0.014,-0.083,-1.012
15256,-0.124,-0.117,1.025,0.176,-0.106,-1.026
15261,-0.102,-0.090,1.004,0.170,-0.050,-1.013
15266,-0.081,-0.055,0.978,0.058,0.005,-1.037
15271,0.117,-0.016,0.958,-0.038,0.026,-1.009
15276,0.154,-0.012,0.919,-0.107,0.049,-1.095
15281,0.345,-0.066,0.996,-0.107,0.052,-1.097
15286,0.145,-0.100,0.994,-0.137,0.016,-1.086
15291,0.113,-0.126,1.030,-0.036,-0.069,-1.090
15296,-0.037,-0.122,1.000,0.148,-0.096,-1.039
15301,-0.024,-0.091,1.030,0.122,-0.066,-1.031
15306,-0.127,-0.019,1.016,0.125,-0.047,-0.955
15311,-0.050,0.021,1.015,-0.001,0.002,-1.020
15316,0.072,0.019,1.002,0.028,0.018,-1.019
15321,0.285,-0.011,1.011,-0.172,0.039,-1.108
15326,0.263,-0.058,1.006,-0.122,-0.011,-1.034
15331,0.168,-0.102,0.992,-0.053,-0.041,-1.089
15336,0.066,-0.138,1.021,0.084,-0.077,-1.015
15341,-0.018,-0.119,1.017,0.134,-0.110,-1.026
15346,-0.157,-0.057,1.031,0.114,-0.104,-0.940
15351,-0.157,-0.029,1.026,0.083,-0.047,-1.001
15356,0.018,-0.025,1.010,0.077,-0.011,-0.991
15361,0.195,-0.030,0.964,-0.111,0.010,-1.075
15366,0.298,-0.069,0.949,-0.145,0.003,-1.048
15371,0.182,-0.099,0.960,-0.091,0.010,-1.076
15376,0.174,-0.155,1.022,-0.015,-0.025,-1.091
15381,-0.011,-0.147,0.997,0.033,-0.089,-1.039
15386,-0.074,-0.108,0.997,0.098,-0.106,-1.008
15391,-0.145,-0.077,0.987,0.213,-0.037,-1.007
15396,0.001,-0.036,1.019,0.081,0.043,-1.055
15401,0.083,0.015,0.980,-0.021,0.040,-1.045
15406,0.219,0.016,0.956,-0.141,0.046,-1.085
15411,0.255,-0.039,0.950,-0.110,0.056,-1.111
15416,0.272,-0.090,1.030,-0.121,0.024,-1.134
15421,0.112,-0.109,1.048,-0.022,-0.073,-1.035
15426,-0.046,-0.089,1.038,0.084,-0.096,-1.017
15431,-0.171,-0.054,1.026,0.230,-0.071,-0.985
15436,-0.080,-0.008,1.045,0.150,-0.024,-0.997
15441,-0.053,0.019,1.042,0.009,-0.025,-0.957
15446,0.120,0.027,1.017,-0.106,-0.012,-1.044
15451,0.208,-0.023,0.941,-0.060,0.014,-1.054
15456,0.359,-0.106,0.972,-0.123,0.005,-1.119
15461,0.190,-0.159,0.965,-0.070,-0.082,-1.027
15466,-0.021,-0.148,1.020,-0.012,-0.120,-1.042
15471,-0.178,-0.133,1.020,0.220,-0.116,-1.004
15476,-0.109,-0.112,1.001,0.185,-0.069,-1.013
15481,-0.075,-0.068,0.955,0.070,-0.018,-0.958
15486,0.107,-0.022,0.971,-0.091,0.017,-1.040
15491,0.145,-0.021,0.937,-0.054,0.041,-1.056
15496,0.353,-0.091,0.997,-0.150,0.061,-1.179
15501,0.174,-0.104,0.993,-0.137,0.004,-1.061
15506,0.146,-0.125,1.024,-0.105,-0.047,-1.117
15511,-0.079,-0.106,1.002,0.170,-0.088,-1.012
15516,-0.064,-0.078,1.068,0.159,-0.037,-1.073
15521,-0.124,-0.003,1.048,0.144,-0.037,-0.979
15526,-0.025,0.047,1.042,-0.026,0.006,-1.012
15531,0.077,0.058,0.958,-0.027,0.035,-1.024
15536,0.297,-0.003,0.971,-0.106,0.047,-1.098
15541,0.340,-0.074,0.970,-0.198,-0.001,-1.059
15546,0.248,-0.117,0.985,-0.150,-0.069,-1.069
15551,-0.060,-0.120,0.991,0.104,-0.109,-1.008
15556,-0.095,-0.128,1.052,0.160,-0.095,-1.073
15561,-0.202,-0.111,1.004,0.191,-0.114,-0.931
15566,-0.075,-0.065,0.971,-0.002,-0.035,-0.966
15571,0.014,-0.018,0.934,0.000,0.017,-0.994
15576,0.199,-0.023,0.937,-0.006,0.060,-1.061
15581,0.349,-0.084,0.962,-0.139,0.049,-1.111
15586,0.257,-0.113,0.982,-0.191,-0.009,-1.076
15591,0.095,-0.131,0.998,-0.085,-0.053,-1.109
15596,-0.096,-0.091,1.004,0.218,-0.068,-1.035
15601,-0.090,-0.061,1.062,0.220,-0.028,-1.053
15606,-0.087,-0.012,1.062,0.089,-0.030,-0.987
15611,-0.028,0.052,1.027,-0.052,-0.005,-0.993
15616,0.093,0.068,0.971,-0.058,0.059,-1.057
15621,0.278,-0.003,0.958,-0.071,0.058,-1.103
15626,0.383,-0.089,1.000,-0.184,0.004,-1.080
15631,0.220,-0.134,1.016,-0.193,-0.090,-1.052
15636,-0.052,-0.137,1.033,0.060,-0.129,-1.042
15641,-0.186,-0.134,1.010,0.275,-0.113,-1.034
15646,-0.121,-0.126,0.979,0.217,-0.098,-0.961
15651,-0.008,-0.072,0.966,-0.011,-0.047,-0.958
15656,0.080,-0.008,0.945,-0.082,-0.012,-0.995
15661,0.150,-0.012,0.944,-0.012,0.037,-1.052
15666,0.276,-0.084,0.949,-0.086,0.054,-1.128
15671,0.288,-0.147,1.011,-0.155,-0.023,-1.078
15676,0.132,-0.140,1.029,-0.133,-0.081,-1.089
15681,-0.113,-0.086,1.037,0.149,-0.085,-1.051
15686,-0.221,-0.050,1.040,0.284,-0.039,-1.055
15691,-0.091,-0.011,1.029,0.136,-0.007,-0.989
15696,0.053,0.013,1.009,-0.048,-0.011,-0.968
15701,0.157,0.043,0.965,-0.144,0.038,-1.042
15706,0.261,-0.012,0.963,-0.058,0.059,-1.129
15711,0.289,-0.092,0.977,-0.069,0.023,-1.127
15716,0.223,-0.174,1.032,-0.171,-0.065,-1.065
15721,-0.033,-0.172,1.041,-0.059,-0.137,-1.032
15726,-0.201,-0.106,1.033,0.236,-0.116,-0.992
15731,-0.241,-0.038,0.999,0.254,-0.041,-1.020
15736,-0.037,-0.013,1.001,0.135,-0.003,-0.954
15741,0.160,-0.003,0.992,-0.129,0.013,-1.026
15746,0.228,-0.012,0.956,-0.161,0.021,-1.026
15751,0.289,-0.053,0.970,-0.063,0.067,-1.176
15756,0.220,-0.108,1.004,-0.052,0.015,-1.141
15761,0.157,-0.141,1.053,-0.063,-0.080,-1.053
15766,-0.090,-0.126,1.036,-0.013,-0.111,-1.014
15771,-0.229,-0.050,1.019,0.245,-0.093,-0.991
15776,-0.214,0.003,0.974,0.230,-0.004,-1.025
15781,0.113,-0.008,0.954,0.031,0.036,-1.009
15786,0.319,-0.049,0.969,-0.217,0.003,-1.030
15791,0.337,-0.085,0.978,-0.242,-0.005,-1.055
15796,0.160,-0.091,0.984,-0.038,0.008,-1.104
15801,0.066,-0.143,1.002,0.000,-0.070,-1.097
15806,-0.017,-0.163,1.002,0.223,-0.075,-1.076
15811,-0.091,-0.116,1.043,0.240,-0.072,-1.020
15816,-0.155,-0.021,1.038,0.085,-0.035,-0.946
15821,-0.121,0.030,1.004,-0.074,-0.003,-0.963
15826,0.137,0.019,0.962,-0.061,0.035,-1.042
15831,0.348,-0.039,0.945,-0.048,0.055,-1.135
15836,0.399,-0.091,1.007,-0.120,0.002,-1.092
15841,0.172,-0.116,0.990,-0.134,-0.069,-1.062
15846,-0.066,-0.125,1.021,-0.022,-0.127,-0.998
15851,-0.168,-0.121,1.029,0.241,-0.120,-1.019
15856,-0.114,-0.094,1.010,0.279,-0.054,-0.990
15861,-0.055,-0.031,1.006,0.120,0.003,-0.968
15866,0.055,0.028,0.994,-0.124,0.027,-0.979
15871,0.137,0.016,0.962,-0.225,0.033,-1.068
15876,0.350,-0.073,1.003,-0.090,0.042,-1.147
15881,0.311,-0.145,1.006,-0.010,0.004,-1.157
15886,0.187,-0.157,1.036,0.001,-0.064,-1.064
15891,-0.143,-0.101,1.031,0.092,-0.115,-0.976
15896,-0.260,-0.037,1.037,0.118,-0.101,-0.952
15901,-0.222,0.002,1.013,0.186,-0.014,-0.963
15906,0.116,-0.002,0.982,0.047,0.052,-1.057
15911,0.296,-0.032,0.942,-0.117,0.032,-1.023
15916,0.369,-0.073,0.952,-0.296,0.022,-1.114
15921,0.192,-0.104,0.994,-0.184,-0.011,-1.063
15926,0.084,-0.146,1.041,0.029,-0.048,-1.086
15931,-0.096,-0.162,1.036,0.247,-0.078,-1.062
15936,-0.134,-0.087,1.028,0.220,-0.090,-1.004
15941,-0.199,0.002,1.026,0.100,-0.025,-0.981
15946,-0.059,0.050,0.991,-0.063,0.022,-0.988
15951,0.151,0.040,0.954,-0.113,0.038,-1.029
15956,0.389,-0.042,0.969,-0.140,0.047,-1.134
15961,0.333,-0.102,0.965,-0.089,-0.001,-1.076
15966,0.209,-0.159,1.015,-0.088,-0.056,-1.100
15971,-0.093,-0.160,0.990,0.037,-0.140,-0.985
15976,-0.194,-0.115,1.009,0.161,-0.126,-0.988
15981,-0.248,-0.042,1.011,0.239,-0.048,-0.960
15986,-0.014,0.002,1.033,0.075,0.039,-1.057
15991,0.164,0.007,0.985,-0.035,0.046,-1.031
15996,0.333,-0.023,0.981,-0.289,0.039,-1.106
16001,0.271,-0.075,0.975,-0.190,0.003,-1.068
16006,0.209,-0.121,1.000,-0.053,-0.019,-1.098
16011,0.026,-0.156,1.032,0.117,-0.091,-1.053
16016,-0.057,-0.126,1.037,0.208,-0.135,-1.030
16021,-0.185,-0.076,1.002,0.186,-0.102,-0.943
16026,-0.127,-0.018,0.985,0.023,-0.011,-0.983
16031,0.001,0.026,0.959,0.000,0.048,-1.002
16036,0.262,-0.006,0.998,-0.140,0.060,-1.105
16041,0.373,-0.066,0.994,-0.148,0.040,-1.140
16046,0.370,-0.137,1.025,-0.145,-0.011,-1.166
16051,0.103,-0.145,1.021,-0.043,-0.078,-1.064
16056,-0.152,-0.092,1.038,0.137,-0.118,-0.996
16061,-0.257,-0.036,1.036,0.216,-0.101,-0.958
16066,-0.184,-0.003,0.994,0.221,-0.021,-0.948
16071,0.080,-0.007,0.981,0.015,0.050,-1.029
16076,0.266,-0.022,0.956,-0.186,0.041,-1.041
16081,0.351,-0.061,0.964,-0.264,0.019,-1.102
16086,0.247,-0.106,0.986,-0.229,-0.005,-1.107
16091,0.095,-0.145,1.010,-0.036,-0.053,-1.099
16096,-0.104,-0.136,1.042,0.229,-0.096,-1.054
16101,-0.246,-0.076,1.069,0.217,-0.095,-0.986
16106,-0.154,-0.021,1.032,0.156,-0.029,-0.977
16111,0.010,0.031,0.965,-0.019,0.031,-0.967
16116,0.245,0.021,0.959,-0.140,0.051,-1.025
16121,0.357,-0.035,0.955,-0.163,0.037,-1.094
16126,0.301,-0.115,0.978,-0.098,0.007,-1.110
16131,0.165,-0.163,1.018,-0.021,-0.061,-1.121
16136,-0.009,-0.163,1.032,0.072,-0.125,-1.062
16141,-0.222,-0.102,1.062,0.166,-0.126,-0.987
16146,-0.227,-0.025,1.062,0.175,-0.044,-0.985
16151,-0.102,0.018,1.008,0.100,0.035,-0.983
