"time", "x1", "y1", "z1", "x2", "y2", "z2"
51,1.008,0.015,-0.084,-0.042,-1.036,0.035
56,1.003,0.103,-0.116,-0.055,-1.058,-0.036
61,1.001,0.161,-0.101,-0.041,-1.067,-0.067
66,0.997,0.140,-0.053,-0.014,-1.060,-0.045
71,1.000,0.076,-0.020,0.006,-1.043,0.004
76,1.005,0.014,-0.024,0.008,-1.024,0.036
81,1.001,0.008,-0.066,-0.025,-1.021,0.030
86,0.997,0.056,-0.112,-0.060,-1.032,0.004
91,0.994,0.105,-0.117,-0.059,-1.051,-0.019
96,0.995,0.122,-0.087,-0.036,-1.061,-0.027
101,0.999,0.094,-0.048,-0.009,-1.047,-0.009
106,1.006,0.055,-0.025,-0.003,-1.032,0.009
111,1.006,0.025,-0.046,-0.015,-1.032,0.029
116,0.998,0.036,-0.077,-0.032,-1.035,0.025
121,0.996,0.071,-0.098,-0.049,-1.046,0.008
126,0.996,0.099,-0.095,-0.040,-1.051,-0.011
131,0.999,0.096,-0.070,-0.023,-1.043,-0.018
136,1.001,0.070,-0.042,-0.006,-1.037,0.001
141,1.000,0.042,-0.030,-0.007,-1.033,0.023
146,1.002,0.042,-0.056,-0.021,-1.035,0.032
151,1.001,0.066,-0.080,-0.033,-1.044,0.006
156,0.998,0.087,-0.092,-0.040,-1.046,-0.010
161,1.000,0.089,-0.074,-0.024,-1.052,-0.013
166,1.005,0.070,-0.044,-0.006,-1.046,0.005
171,1.006,0.052,-0.033,0.004,-1.038,0.018
176,1.001,0.050,-0.039,-0.005,-1.040,0.016
181,1.000,0.063,-0.071,-0.023,-1.037,0.007
186,0.992,0.077,-0.086,-0.037,-1.043,-0.006
191,0.995,0.077,-0.086,-0.031,-1.044,-0.002
196,0.999,0.066,-0.061,-0.018,-1.041,0.012
201,1.004,0.058,-0.039,-0.004,-1.038,0.011
206,1.005,0.060,-0.038,-0.007,-1.039,0.005
211,1.003,0.068,-0.063,-0.020,-1.042,0.002
216,1.001,0.075,-0.082,-0.033,-1.046,0.001
221,0.999,0.078,-0.079,-0.036,-1.050,-0.005
226,0.999,0.077,-0.073,-0.024,-1.042,-0.006
231,0.997,0.067,-0.056,-0.019,-1.036,0.005
236,0.998,0.062,-0.051,-0.010,-1.034,0.003
241,0.998,0.069,-0.059,-0.018,-1.037,0.002
246,0.999,0.075,-0.077,-0.028,-1.042,-0.004
251,1.001,0.088,-0.081,-0.035,-1.044,-0.007
256,0.998,0.082,-0.080,-0.034,-1.041,-0.012
261,1.005,0.071,-0.061,-0.023,-1.041,-0.001
266,1.001,0.065,-0.051,-0.016,-1.037,0.004
271,0.997,0.064,-0.056,-0.018,-1.042,0.006
276,1.003,0.072,-0.067,-0.026,-1.042,0.001
281,0.994,0.076,-0.080,-0.034,-1.038,-0.004
286,0.995,0.076,-0.076,-0.031,-1.043,-0.001
291,0.998,0.067,-0.069,-0.025,-1.038,0.003
296,1.001,0.055,-0.059,-0.018,-1.040,0.009
301,1.002,0.056,-0.052,-0.015,-1.040,0.012
306,1.002,0.060,-0.059,-0.020,-1.042,0.009
311,0.999,0.070,-0.069,-0.028,-1.045,0.006
316,1.001,0.071,-0.075,-0.027,-1.043,0.006
321,0.999,0.066,-0.069,-0.025,-1.044,0.007
326,1.006,0.062,-0.060,-0.022,-1.039,0.008
331,1.002,0.060,-0.055,-0.015,-1.034,0.011
336,1.000,0.062,-0.056,-0.016,-1.041,0.007
341,0.996,0.065,-0.065,-0.023,-1.042,0.003
346,1.001,0.072,-0.073,-0.025,-1.039,0.001
351,1.000,0.071,-0.073,-0.025,-1.040,0.002
356,1.000,0.067,-0.063,-0.022,-1.045,0.001
361,1.003,0.065,-0.054,-0.017,-1.043,0.008
366,1.004,0.068,-0.058,-0.019,-1.042,0.004
371,1.004,0.072,-0.064,-0.020,-1.042,0.001
376,0.999,0.075,-0.063,-0.025,-1.039,-0.004
381,0.997,0.071,-0.073,-0.028,-1.039,-0.003
386,0.998,0.066,-0.067,-0.025,-1.039,0.001
391,1.001,0.063,-0.063,-0.020,-1.039,0.004
396,0.998,0.066,-0.059,-0.020,-1.039,0.004
401,1.000,0.067,-0.063,-0.020,-1.045,-0.001
406,0.998,0.071,-0.067,-0.025,-1.042,-0.001
411,0.994,0.072,-0.070,-0.023,-1.041,-0.005
416,1.003,0.072,-0.066,-0.024,-1.042,0.001
421,1.001,0.067,-0.062,-0.020,-1.042,0.004
