"time", "x1", "y1", "z1", "x2", "y2", "z2"
51,0.222,-0.042,0.976,-0.073,0.001,1.061
56,0.067,-0.003,1.002,0.037,0.008,1.025
61,-0.074,-0.019,1.023,0.113,0.002,1.010
66,-0.096,-0.072,1.025,0.095,-0.028,1.016
71,0.035,-0.125,1.008,-0.001,-0.070,1.050
76,0.183,-0.117,0.989,-0.080,-0.066,1.074
81,0.211,-0.074,0.985,-0.083,-0.011,1.068
86,0.119,-0.029,0.995,-0.018,0.020,1.043
91,-0.002,-0.025,1.001,0.055,0.000,1.013
96,-0.056,-0.060,1.012,0.086,-0.035,1.010
101,-0.006,-0.106,1.010,0.049,-0.051,1.033
106,0.098,-0.129,0.998,-0.027,-0.049,1.061
111,0.169,-0.103,0.991,-0.065,-0.039,1.065
116,0.153,-0.054,0.990,-0.048,-0.009,1.055
121,0.069,-0.029,1.003,0.017,0.009,1.035
126,-0.010,-0.036,1.006,0.057,-0.004,1.021
131,-0.013,-0.074,1.006,0.049,-0.033,1.028
136,0.052,-0.116,1.002,0.004,-0.056,1.041
141,0.122,-0.109,0.990,-0.042,-0.045,1.058
146,0.141,-0.081,0.990,-0.046,-0.020,1.056
151,0.098,-0.047,0.998,-0.005,-0.001,1.041
156,0.039,-0.031,1.005,0.031,-0.001,1.034
161,0.010,-0.060,1.007,0.045,-0.019,1.034
166,0.029,-0.091,1.003,0.018,-0.041,1.037
171,0.085,-0.111,0.991,-0.013,-0.051,1.051
176,0.116,-0.088,0.996,-0.030,-0.037,1.055
181,0.112,-0.055,0.996,-0.015,-0.009,1.044
186,0.062,-0.034,1.001,0.015,0.002,1.038
191,0.028,-0.045,1.006,0.031,-0.010,1.031
196,0.031,-0.077,1.003,0.025,-0.031,1.035
201,0.063,-0.106,0.997,0.003,-0.049,1.041
206,0.098,-0.099,0.996,-0.017,-0.036,1.048
211,0.103,-0.069,0.996,-0.023,-0.019,1.044
216,0.082,-0.043,1.000,-0.004,-0.004,1.040
221,0.050,-0.040,1.003,0.012,-0.003,1.036
226,0.039,-0.066,1.003,0.024,-0.022,1.036
231,0.053,-0.094,1.000,0.010,-0.042,1.041
236,0.084,-0.099,0.995,-0.010,-0.042,1.046
241,0.093,-0.081,0.995,-0.009,-0.030,1.045
246,0.082,-0.053,0.998,-0.003,-0.009,1.043
251,0.062,-0.045,1.006,0.010,-0.006,1.034
256,0.046,-0.057,1.000,0.014,-0.020,1.036
261,0.058,-0.084,1.001,0.006,-0.033,1.039
266,0.070,-0.094,0.999,-0.002,-0.040,1.042
271,0.084,-0.087,0.998,-0.005,-0.029,1.045
276,0.083,-0.068,0.999,-0.003,-0.017,1.043
281,0.070,-0.047,1.002,-0.001,-0.006,1.038
286,0.056,-0.052,1.000,0.015,-0.014,1.034
291,0.054,-0.072,0.998,0.009,-0.026,1.038
296,0.063,-0.083,1.000,0.008,-0.037,1.044
301,0.076,-0.088,0.998,-0.001,-0.033,1.044
306,0.081,-0.073,0.996,-0.006,-0.023,1.044
311,0.079,-0.055,0.999,-0.002,-0.009,1.046
316,0.063,-0.058,1.002,0.004,-0.011,1.038
321,0.061,-0.065,1.001,0.008,-0.024,1.040
326,0.065,-0.080,0.998,0.004,-0.032,1.041
331,0.069,-0.081,1.000,0.000,-0.034,1.044
336,0.075,-0.080,1.002,-0.002,-0.030,1.043
341,0.076,-0.061,0.997,-0.003,-0.018,1.042
346,0.072,-0.056,1.003,0.002,-0.016,1.037
351,0.064,-0.060,1.001,0.008,-0.023,1.043
356,0.063,-0.080,0.995,0.008,-0.025,1.041
361,0.069,-0.082,1.003,0.002,-0.034,1.044
366,0.071,-0.077,1.002,0.000,-0.032,1.042
371,0.077,-0.063,1.004,-0.001,-0.022,1.045
376,0.068,-0.052,1.004,0.001,-0.011,1.037
381,0.073,-0.059,1.005,0.007,-0.017,1.042
386,0.066,-0.067,0.998,0.007,-0.026,1.033
391,0.065,-0.080,0.999,0.005,-0.029,1.042
396,0.060,-0.079,0.998,0.004,-0.033,1.044
401,0.067,-0.071,0.998,-0.001,-0.023,1.044
406,0.069,-0.059,1.001,0.005,-0.018,1.040
411,0.070,-0.060,1.001,0.006,-0.015,1.038
416,0.065,-0.061,1.004,0.006,-0.025,1.042
421,0.068,-0.075,0.996,0.007,-0.027,1.042
426,0.065,-0.078,1.000,0.001,-0.027,1.039
431,0.070,-0.074,0.997,0.001,-0.024,1.041
436,0.065,-0.064,0.997,-0.000,-0.015,1.043
441,0.068,-0.062,1.000,-0.001,-0.019,1.042
446,0.069,-0.066,0.997,0.002,-0.021,1.043
451,0.071,-0.069,1.005,0.001,-0.025,1.040
456,0.065,-0.080,0.999,0.003,-0.032,1.044
461,0.069,-0.074,1.003,0.010,-0.028,1.042
466,0.072,-0.067,1.000,0.003,-0.022,1.044
471,0.071,-0.062,1.001,-0.005,-0.019,1.042
476,0.069,-0.066,1.001,0.004,-0.021,1.043
481,0.073,-0.068,1.002,0.002,-0.025,1.039
486,0.068,-0.077,0.998,0.003,-0.030,1.042
491,0.063,-0.078,0.998,0.000,-0.030,1.045
496,0.070,-0.071,1.004,0.002,-0.025,1.041
501,0.068,-0.068,1.004,0.004,-0.026,1.040
506,0.067,-0.062,0.996,0.004,-0.021,1.037
511,0.070,-0.069,1.003,0.003,-0.024,1.044
516,0.072,-0.075,1.000,0.003,-0.025,1.042
521,0.066,-0.073,1.000,0.002,-0.028,1.041
526,0.070,-0.069,1.004,0.004,-0.024,1.044
531,0.067,-0.063,1.002,0.004,-0.018,1.039
536,0.072,-0.065,0.998,0.004,-0.019,1.042
541,0.065,-0.064,0.996,-0.001,-0.023,1.042
546,0.072,-0.070,1.000,0.008,-0.022,1.043
551,0.067,-0.072,1.001,0.001,-0.026,1.041
556,0.069,-0.068,0.998,0.003,-0.023,1.039
561,0.064,-0.065,1.001,0.003,-0.021,1.044
566,0.072,-0.063,0.998,0.006,-0.015,1.038
571,0.065,-0.063,1.001,0.002,-0.018,1.039
576,0.069,-0.068,0.997,0.005,-0.023,1.040
581,0.071,-0.069,1.002,0.003,-0.028,1.042
586,0.061,-0.071,1.001,0.002,-0.024,1.038
591,0.068,-0.067,1.000,0.006,-0.023,1.040
596,0.066,-0.062,0.999,0.002,-0.020,1.042
601,0.073,-0.064,1.001,0.003,-0.019,1.046
606,0.068,-0.072,0.997,0.006,-0.024,1.040
611,0.071,-0.072,0.998,0.001,-0.023,1.038
616,0.070,-0.070,1.000,0.005,-0.026,1.040
621,0.070,-0.065,1.004,0.002,-0.020,1.035
626,0.066,-0.066,1.000,0.005,-0.026,1.038
631,0.072,-0.070,1.001,0.001,-0.023,1.039
636,0.072,-0.069,0.999,-0.002,-0.025,1.042
641,0.071,-0.073,0.998,0.002,-0.026,1.042
646,0.071,-0.072,0.997,0.002,-0.027,1.043
651,0.066,-0.071,1.002,0.003,-0.025,1.043
656,0.069,-0.070,1.000,0.001,-0.021,1.039
661,0.070,-0.068,1.001,-0.000,-0.026,1.043
666,0.069,-0.066,0.997,0.002,-0.023,1.042
671,0.072,-0.074,1.000,0.002,-0.026,1.042
676,0.070,-0.067,0.999,-0.001,-0.021,1.042
681,0.070,-0.071,0.998,0.005,-0.029,1.044
686,0.068,-0.069,1.000,0.005,-0.024,1.041
691,0.065,-0.067,0.997,0.002,-0.022,1.042
696,0.066,-0.067,0.998,0.002,-0.024,1.044
701,0.068,-0.066,0.998,0.001,-0.027,1.042
706,0.069,-0.071,0.999,0.002,-0.025,1.041
711,0.066,-0.070,0.999,0.003,-0.027,1.039
716,0.068,-0.064,1.000,0.005,-0.024,1.041
721,0.069,-0.064,1.003,0.003,-0.020,1.040
726,0.067,-0.063,0.998,0.004,-0.022,1.042
731,0.068,-0.063,1.005,0.002,-0.022,1.044
736,0.069,-0.069,1.000,0.004,-0.020,1.042
741,0.068,-0.066,0.998,0.000,-0.020,1.038
746,0.066,-0.068,1.000,0.004,-0.020,1.042
751,0.066,-0.063,1.002,0.003,-0.023,1.039
756,0.068,-0.062,1.000,0.003,-0.026,1.043
761,0.070,-0.063,1.000,0.001,-0.022,1.040
766,0.068,-0.066,1.002,0.004,-0.023,1.042
771,0.068,-0.067,1.001,0.004,-0.019,1.036
776,0.070,-0.070,0.999,0.004,-0.019,1.043
781,0.064,-0.067,0.999,-0.000,-0.020,1.043
786,0.064,-0.066,1.001,0.005,-0.021,1.042
791,0.071,-0.066,0.999,0.004,-0.020,1.034
796,0.072,-0.066,1.001,0.003,-0.024,1.040
801,0.072,-0.066,1.003,0.004,-0.024,1.043
806,0.068,-0.064,1.001,0.003,-0.020,1.041
811,0.070,-0.068,1.001,0.002,-0.025,1.045
816,0.071,-0.068,1.000,0.003,-0.022,1.042
821,0.069,-0.066,1.001,0.002,-0.022,1.045
826,0.068,-0.067,0.997,-0.001,-0.026,1.045
831,0.070,-0.069,0.998,-0.001,-0.025,1.044
836,0.068,-0.070,0.999,0.000,-0.025,1.039
841,0.067,-0.069,0.998,0.005,-0.024,1.040
846,0.067,-0.070,1.000,0.003,-0.023,1.042
851,0.069,-0.067,0.999,0.006,-0.029,1.042
856,0.069,-0.068,0.999,0.002,-0.025,1.038
861,0.072,-0.069,1.001,0.002,-0.024,1.042
866,0.070,-0.069,0.998,0.004,-0.026,1.040
871,0.069,-0.073,1.003,0.002,-0.026,1.044
876,0.070,-0.069,0.998,0.004,-0.023,1.042
881,0.068,-0.066,0.997,0.002,-0.023,1.044
886,0.072,-0.069,1.001,0.005,-0.026,1.043
891,0.069,-0.069,1.002,-0.001,-0.023,1.043
896,0.069,-0.071,1.002,-0.001,-0.023,1.039
901,0.068,-0.067,1.001,0.001,-0.025,1.040
906,0.072,-0.068,0.995,0.008,-0.023,1.039
911,0.067,-0.066,1.002,0.004,-0.023,1.045
916,0.069,-0.068,0.999,0.002,-0.023,1.040
921,0.066,-0.067,0.998,0.004,-0.023,1.043
926,0.070,-0.063,1.000,0.002,-0.023,1.041
931,0.071,-0.064,0.999,0.006,-0.021,1.042
936,0.067,-0.067,1.001,0.001,-0.022,1.040
941,0.065,-0.069,1.001,0.003,-0.022,1.037
946,0.068,-0.068,0.997,0.000,-0.021,1.043
951,0.069,-0.067,1.002,0.004,-0.023,1.044
956,0.069,-0.065,0.998,-0.001,-0.023,1.043
961,0.066,-0.066,1.003,0.002,-0.024,1.042
966,0.065,-0.066,0.999,0.003,-0.015,1.038
971,0.066,-0.068,0.996,-0.001,-0.022,1.043
976,0.071,-0.067,1.000,0.002,-0.022,1.041
981,0.072,-0.066,1.002,0.004,-0.019,1.042
986,0.070,-0.068,1.000,0.004,-0.028,1.044
991,0.067,-0.068,1.002,0.003,-0.025,1.044
996,0.071,-0.072,1.001,0.003,-0.025,1.038
1001,0.069,-0.069,0.999,0.004,-0.022,1.043
1006,0.069,-0.065,0.996,0.002,-0.024,1.044
1011,0.069,-0.064,1.000,0.001,-0.026,1.042
1016,0.069,-0.069,1.000,0.002,-0.023,1.040
1021,0.068,-0.068,0.998,0.003,-0.027,1.039
1026,0.068,-0.069,0.997,0.007,-0.022,1.040
1031,0.067,-0.070,1.002,0.006,-0.024,1.042
1036,0.070,-0.066,0.999,0.001,-0.024,1.041
1041,0.073,-0.071,1.001,0.002,-0.023,1.042
1046,0.067,-0.071,0.997,0.003,-0.025,1.040
1051,0.066,-0.071,1.000,0.001,-0.026,1.042
1056,0.067,-0.065,0.999,0.005,-0.025,1.045
1061,0.072,-0.069,0.997,0.001,-0.026,1.039
1066,0.070,-0.070,0.997,0.000,-0.024,1.040
1071,0.069,-0.065,1.000,0.001,-0.028,1.042
1076,0.074,-0.068,0.997,0.002,-0.023,1.042
1081,0.068,-0.069,0.997,0.003,-0.022,1.038
1086,0.070,-0.067,1.000,0.005,-0.023,1.040
1091,0.069,-0.069,0.995,0.001,-0.022,1.038
1096,0.068,-0.062,0.996,0.006,-0.021,1.042
1101,0.069,-0.064,1.002,0.003,-0.025,1.041
1106,0.068,-0.069,1.001,0.004,-0.023,1.040
1111,0.069,-0.064,1.003,-0.000,-0.024,1.040
1116,0.067,-0.064,1.000,0.003,-0.024,1.041
1121,0.066,-0.067,1.000,0.002,-0.026,1.041
1126,0.067,-0.067,1.001,0.003,-0.023,1.044
1131,0.070,-0.066,1.000,0.002,-0.023,1.042
1136,0.066,-0.065,1.003,0.001,-0.023,1.042
1141,0.069,-0.069,1.000,0.000,-0.024,1.042
1146,0.071,-0.066,1.000,0.003,-0.020,1.040
1151,0.064,-0.066,0.997,0.002,-0.022,1.042
1156,0.069,-0.067,1.000,0.005,-0.022,1.043
1161,0.062,-0.068,0.997,0.000,-0.027,1.038
1166,0.073,-0.066,0.999,0.004,-0.026,1.039
1171,0.067,-0.069,1.000,0.004,-0.024,1.038
1176,0.073,-0.069,1.002,0.001,-0.025,1.044
1181,0.071,-0.068,1.000,-0.000,-0.024,1.039
1186,0.068,-0.068,1.002,0.004,-0.026,1.044
1191,0.069,-0.072,0.997,0.002,-0.026,1.036
1196,0.073,-0.070,1.000,0.003,-0.022,1.044
1201,0.065,-0.071,1.000,0.002,-0.024,1.042
1206,0.067,-0.071,0.999,0.002,-0.022,1.043
1211,0.069,-0.068,1.000,0.006,-0.027,1.041
1216,0.070,-0.072,1.000,0.003,-0.024,1.043
1221,0.071,-0.066,0.996,0.008,-0.029,1.041
1226,0.072,-0.065,1.000,0.002,-0.022,1.041
1231,0.068,-0.066,1.001,0.003,-0.029,1.039
1236,0.070,-0.069,1.002,0.006,-0.022,1.042
1241,0.069,-0.066,0.999,0.011,-0.026,1.041
1246,0.068,-0.067,1.000,0.002,-0.022,1.037
1251,0.072,-0.060,1.000,0.003,-0.020,1.044
